id,user_msg,processed_intent,processed_class,processed_attributes,processed_filter_attributes,expected_intent,expected_class,expected_attributes,expected_filter_attributes,evaluation1_error_type,evaluation2_error_type,evaluation2_error_description
1,"add student with name=anderson martins gomes, age=20",ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",,ADD,student,"{""name"": ""Anderson Martins Gomes"", ""age"": ""20""}",,,assertion,"""{'name': 'anderson martins gomes', 'age': '20'}"" != 'none'
- {'name': 'anderson martins gomes', 'age': '20'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'anderson martins gomes', 'age': '20'}
user_msg: add student with name=anderson martins gomes, age=20"
2,ok,CONFIRMATION,,,,CONFIRMATION,,,,,,
3,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",,ADD,subject,"{""name"": ""Brazilian History"", ""description"": ""The history of Brazil""}",,,assertion,"""{'name': 'brazilian history', 'description': 'the history of brazil'}"" != 'none'
- {'name': 'brazilian history', 'description': 'the history of brazil'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'brazilian history', 'description': 'the history of brazil'}
user_msg: add subject with name=brazilian history, description=the history of brazil"
4,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",,ADD,teacher,"{""name"": ""Paulo Henrique"", ""age"": ""65"", ""email"": ""ph@uece.br""}",,,assertion,"""{'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}"" != 'none'
- {'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'paulo henrique', 'age': '65', 'email': 'ph@uece.br'}
user_msg: add teacher with name=paulo henrique, age=65, email=ph@uece.br"
5,"add subject with name=math, description=the best subject ever",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",,ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever""}",,,assertion,"""{'name': 'math', 'description': 'the best subject ever'}"" != 'none'
- {'name': 'math', 'description': 'the best subject ever'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'math', 'description': 'the best subject ever'}
user_msg: add subject with name=math, description=the best subject ever"
6,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",,ADD,subject,"{""name"": ""Math"", ""description"": ""The best subject ever!""}",,,assertion,"""{'name': 'math', 'description': 'the best subject ever!'}"" != 'none'
- {'name': 'math', 'description': 'the best subject ever!'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'math', 'description': 'the best subject ever!'}
user_msg: add subject with name=math, description='the best subject ever!'"
7,bye,GOODBYE,,,,GOODBYE,,,,,,
8,i wanna say bye!,GOODBYE,,,,GOODBYE,,,,,assertion,"<Intent.GOODBYE: 'GOODBYE'> != <Intent.READ: 'READ'> : intent not correct.
processed_intent = READ
expected_intent = GOODBYE
user_msg: i wanna say bye!"
9,ok. bye bye!,GOODBYE,,,,GOODBYE,,,,,general,Timeout in MsgParser
10,add student name=anderson,ADD,student,"{""name"": ""Anderson""}",,ADD,student,"{""name"": ""Anderson""}",,,assertion,"""{'name': 'anderson'}"" != 'none'
- {'name': 'anderson'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'anderson'}
user_msg: add student name=anderson"
